id,feedback,score,user_id,product_id,created_at
1,Đánh giá seed tự động cho sản phẩm: Apple Watch Ultra 2 2024 49mm 4G Viền Titan Dây Cao Su - Cũ Xước Cấn,5,8,1,2026-03-29 00:49:37
2,Đánh giá seed tự động cho sản phẩm: Bàn di chuột Asus Rog Strix Edge,4,10,2,2026-03-29 00:49:37
3,Đánh giá seed tự động cho sản phẩm: Bàn phím cơ gaming E-Dra EK315X xám đen,4,8,7,2026-03-29 00:49:37
4,Đánh giá seed tự động cho sản phẩm: Bàn phím cơ gaming E-Dra EK398X Alpha đen xám,3,15,9,2026-03-29 00:49:37
5,Đánh giá seed tự động cho sản phẩm: Bàn phím cơ gaming E-Dra EK398X Beta đen xám,5,12,10,2026-03-29 00:49:37
6,Đánh giá seed tự động cho sản phẩm: Chuột gaming không dây E-dra EM631W,4,12,14,2026-03-29 00:49:37
7,Đánh giá seed tự động cho sản phẩm: POCO X8 Pro Max 5G 12GB 256GB - Đã kích hoạt,3,3,16,2026-03-29 00:49:37
8,Đánh giá seed tự động cho sản phẩm: Giá đỡ Laptop/Macbook Rain Design (Usa) Mbar Pro Foldable tản nhiệt,4,2,19,2026-03-29 00:49:37
9,Đánh giá seed tự động cho sản phẩm: Laptop Acer Aspire Go 14 AI AG14-71M-57WR NX.JFWSV.001 - Cũ Trầy Xước,4,4,21,2026-03-29 00:49:37
10,Đánh giá seed tự động cho sản phẩm: Laptop Acer Aspire Lite 15 AL15-51M-55NB NX.KRSSV.001 - Cũ Đẹp,4,17,22,2026-03-29 00:49:37
11,Đánh giá seed tự động cho sản phẩm: Laptop Dell 15 DC15250 I5U165W11SLU - Cũ Trầy Xước,5,13,25,2026-03-29 00:49:37
12,Đánh giá seed tự động cho sản phẩm: Laptop Dell Inspiron 16 5630 - Cũ Trầy Xước,5,3,26,2026-03-29 00:49:37
13,Đánh giá seed tự động cho sản phẩm: Laptop Dell Vostro 3530 V5I5267W1 - Cũ Trầy Xước,4,4,28,2026-03-29 00:49:37
14,Đánh giá seed tự động cho sản phẩm: Laptop Lenovo IdeaPad Slim 3 OLED 15IRH10 83K1002NVN - Cũ Trầy Xước,4,16,29,2026-03-29 00:49:37
15,Đánh giá seed tự động cho sản phẩm: Laptop Lenovo Thinkpad Z16 Gen 1 21D4000CUS - Cũ Trầy Xước,4,1,33,2026-03-29 00:49:37
16,Đánh giá seed tự động cho sản phẩm: Laptop Lenovo Yoga Slim 7 14IMH9 83CV00D8VN - Đã Kích Hoạt,5,2,34,2026-03-29 00:49:37
17,Đánh giá seed tự động cho sản phẩm: Laptop MSI Katana 15 B13UDXK-2213VN - Cũ Xước Cấn,4,15,37,2026-03-29 00:49:37
18,Đánh giá seed tự động cho sản phẩm: Loa Bluetooth GOOJODOQ AB4095,5,11,40,2026-03-29 00:49:37
19,Đánh giá seed tự động cho sản phẩm: Màn hình LG 24U411A-B 24 inch - Đã Kích Hoạt,4,20,42,2026-03-29 00:49:37
20,Đánh giá seed tự động cho sản phẩm: Máy tính bảng Huawei MatePad Pro 12.2 2025 12GB 512GB - Cũ trầy xước,4,4,44,2026-03-29 00:49:37
21,Đánh giá seed tự động cho sản phẩm: Ốp lưng iPhone 14 Pro ESR Air Armor Clear,5,10,47,2026-03-29 00:49:37
22,Đánh giá seed tự động cho sản phẩm: Ốp lưng iPhone 15 Pro Araree Nukin Clear,3,10,52,2026-03-29 00:49:37
23,Đánh giá seed tự động cho sản phẩm: Ốp lưng iPhone 15 Pro JCPal DualPro with Magsafe Clear,3,15,53,2026-03-29 00:49:37
24,Đánh giá seed tự động cho sản phẩm: Ốp lưng iPhone 15 Pro Jinya T-Stand with Magsafe,4,15,54,2026-03-29 00:49:37
25,Đánh giá seed tự động cho sản phẩm: Ốp lưng iPhone 15 Pro Max Likgus With Magsafe,4,6,56,2026-03-29 00:49:37
26,Đánh giá seed tự động cho sản phẩm: Ốp lưng iPhone 15 Pro TGVIS Art,3,10,58,2026-03-29 00:49:37
27,Đánh giá seed tự động cho sản phẩm: Ốp lưng iPhone 15 X Level Sparkling Magsafe,4,12,59,2026-03-29 00:49:37
28,Đánh giá seed tự động cho sản phẩm: PC Rosa Office 3200G,4,10,60,2026-03-29 00:49:37
29,Đánh giá seed tự động cho sản phẩm: PC Rosa Office 5500GT,5,17,61,2026-03-29 00:49:37
